raw_label,normalized_label,count,group_size
유리병,유리병,40,2
유리 병,유리병,14,2
종이 박스,종이박스,9,2
종이박스,종이박스,7,2
종이 상자,종이상자,94,2
종이상자,종이상자,27,2
플라스틱 병,플라스틱병,121,2
플라스틱병,플라스틱병,1,2
0.25L,0.25L,1,1
0개,0개,1,1
1.25L,1.25L,1,1
1000mL,1000mL,1,1
10개,10개,9,1
10개 이상,10개 이상,11,1
10개입,10개입,1,1
1100 x 2000 mm,1100 x 2000 mm,1,1
11개,11개,10,1
12개,12개,6,1
13개,13개,5,1
14,14,1,1
14개,14개,5,1
15개,15개,4,1
16oz PET 컵 1000개,16oz PET 컵 1000개,1,1
16개,16개,4,1
18L,18L,1,1
18개,18개,3,1
1개,1개,371,1
200ml,200ml,1,1
20개 이상,20개 이상,1,1
21개,21개,1,1
24개,24개,2,1
25개,25개,2,1
26개,26개,1,1
2개,2개,686,1
2권,2권,4,1
2장,2장,1,1
30개,30개,2,1
3개,3개,288,1
3권,3권,1,1
4개,4개,132,1
4개 이상,4개 이상,9,1
4권,4권,1,1
4장,4장,2,1
500 ml,500 ml,1,1
500mL,500mL,1,1
500ml,500ml,6,1
50개입,50개입,3,1
5개,5개,58,1
5개 이상,5개 이상,1,1
6개,6개,31,1
6개입,6개입,1,1
7개,7개,13,1
8개,8개,13,1
9개,9개,34,1
AA형 건전지 4개,AA형 건전지 4개,1,1
Almond Breeze 상자,Almond Breeze 상자,1,1
Asahi 맥주 캔,Asahi 맥주 캔,1,1
CITRA HOP SESSION IPA,CITRA HOP SESSION IPA,1,1
COMPOSE COFFEE,COMPOSE COFFEE,1,1
Cafe`la Size Up,Cafe`la Size Up,1,1
Cantata 콘트라베이스 음료 병,Cantata 콘트라베이스 음료 병,1,1
Dewar`s,Dewar`s,1,1
HARIBO,HARIBO,2,1
HARIBO 골드베렌 통,HARIBO 골드베렌 통,1,1
HARIBO 젤리 봉지,HARIBO 젤리 봉지,1,1
KFC 종이 봉투,KFC 종이 봉투,1,1
KFC 종이봉투,KFC 종이봉투,1,1
Kellogg`s,Kellogg`s,1,1
Kid-O,Kid-O,1,1
Kurly,Kurly,2,1
Maxim 커피믹스 박스,Maxim 커피믹스 박스,1,1
McCOL 500mL x 6 상자,McCOL 500mL x 6 상자,1,1
OPT-FREE 하이드라모이스트 용기,OPT-FREE 하이드라모이스트 용기,1,1
PET(폴리에틸렌 테레프탈레이트),PET(폴리에틸렌 테레프탈레이트),1,1
SPAM 종이 쇼핑백,SPAM 종이 쇼핑백,1,1
TEAZLE,TEAZLE,1,1
TEAZLE 음료수 병,TEAZLE 음료수 병,1,1
Welch`s 포도맛 캔,Welch`s 포도맛 캔,1,1
Werther`s Original 캔디 포장지,Werther`s Original 캔디 포장지,1,1
가방 옆에 있다,가방 옆에 있다,1,1
가운데 줄 중간에 있는 투명 봉투,가운데 줄 중간에 있는 투명 봉투,1,1
가운데와 오른쪽의 플라스틱 컵,가운데와 오른쪽의 플라스틱 컵,1,1
간장 병,간장 병,1,1
간장 소스가 담긴 작은 플라스틱 봉지,간장 소스가 담긴 작은 플라스틱 봉지,1,1
갈색,갈색,3,1
갈색 종이 상자,갈색 종이 상자,2,1
갈색 종이 쇼핑백,갈색 종이 쇼핑백,1,1
갈색 종이봉투,갈색 종이봉투,3,1
갈색 택배 상자,갈색 택배 상자,1,1
갈색과 노란색,갈색과 노란색,1,1
갈색과 흰색이 섞인 종이 상자,갈색과 흰색이 섞인 종이 상자,1,1
감귤,감귤,1,1
감자칩 캔,감자칩 캔,1,1
감자칩 통,감자칩 통,1,1
건전지,건전지,5,1
건전지 4개,건전지 4개,1,1
검은 통 안,검은 통 안,1,1
검은 통 옆 바닥에 있음,검은 통 옆 바닥에 있음,1,1
검은 플라스틱 상자 위,검은 플라스틱 상자 위,1,1
검은색,검은색,5,1
검은색 금속 캔,검은색 금속 캔,1,1
검은색 뚜껑이 있는 병,검은색 뚜껑이 있는 병,1,1
검은색 뚜껑이 있는 음료수 병,검은색 뚜껑이 있는 음료수 병,1,1
검은색 립밤 용기,검은색 립밤 용기,1,1
검은색 마스크 포장 비닐,검은색 마스크 포장 비닐,1,1
검은색 바탕에 흰색 글씨,검은색 바탕에 흰색 글씨,1,1
