question_type,concept,total_choice_mentions,correct_choice_mentions,correct_rate_within_mentions
classification,플라스틱,1206,482,0.3997
classification,종이,1178,356,0.3022
classification,금속,1071,165,0.1541
classification,유리,936,47,0.0502
classification,스티로폼,13,6,0.4615
color,플라스틱,11,3,0.2727
color,금속,7,1,0.1429
color,종이,5,1,0.2
color,유리,1,0,0.0
count,플라스틱,103,25,0.2427
count,금속,72,18,0.25
count,유리,23,5,0.2174
count,종이,18,4,0.2222
location,종이,89,21,0.236
location,플라스틱,59,24,0.4068
location,금속,26,2,0.0769
location,유리,23,2,0.087
location,스티로폼,7,1,0.1429
material,종이,1893,452,0.2388
material,플라스틱,1682,770,0.4578
material,금속,1213,157,0.1294
material,유리,1057,73,0.0691
material,스티로폼,75,28,0.3733
other,종이,74,21,0.2838
other,플라스틱,29,11,0.3793
other,금속,24,1,0.0417
other,유리,20,0,0.0
