normalized_target_class,count,ratio
2개,686,0.1352
플라스틱,433,0.0854
1개,371,0.0731
3개,288,0.0568
종이,132,0.026
4개,132,0.026
플라스틱병,122,0.024
종이상자,121,0.0239
플라스틱컵,73,0.0144
알루미늄 캔,67,0.0132
파란색,61,0.012
5개,58,0.0114
종이류,57,0.0112
유리병,54,0.0106
플라스틱 컵과 빨대,53,0.0104
유리,50,0.0099
금속,48,0.0095
종이팩,41,0.0081
노란색,35,0.0069
9개,34,0.0067
금속캔,34,0.0067
종이컵,33,0.0065
6개,31,0.0061
분홍색,30,0.0059
스티로폼,27,0.0053
플라스틱용기,26,0.0051
빨간색,25,0.0049
초록색,22,0.0043
종이(골판지),19,0.0037
플라스틱 컵과 뚜껑,18,0.0035
페트병,17,0.0034
종이박스,16,0.0032
투명 플라스틱 컵,15,0.003
캔,15,0.003
플라스틱빨대,15,0.003
투명,14,0.0028
음료캔,14,0.0028
흰색,14,0.0028
플라스틱포장지,13,0.0026
7개,13,0.0026
8개,13,0.0026
투명한 플라스틱 용기,13,0.0026
플라스틱포장재,13,0.0026
보라색,13,0.0026
플라스틱 재활용,12,0.0024
계란판,12,0.0024
종이봉투,12,0.0024
10개 이상,11,0.0022
알루미늄 캔 2개,11,0.0022
투명 페트병,11,0.0022
11개,10,0.002
노란색과 분홍색,10,0.002
플라스틱 재질,10,0.002
투명 플라스틱 용기,10,0.002
10개,9,0.0018
4개 이상,9,0.0018
커피 컵 홀더,9,0.0018
플라스틱 봉투,9,0.0018
플라스틱 필름,8,0.0016
종이 포장지,8,0.0016
플라스틱뚜껑,8,0.0016
종이 재질,7,0.0014
투명 플라스틱 컵과 빨대,7,0.0014
음료수캔,7,0.0014
플라스틱과 금속,7,0.0014
과자 상자,7,0.0014
투명한 플라스틱 컵과 뚜껑,6,0.0012
플라스틱 컵과 플라스틱 빨대,6,0.0012
12개,6,0.0012
노란색 빨대,6,0.0012
빨대,6,0.0012
페트병과 플라스틱 컵,6,0.0012
종이 재질의 상자,6,0.0012
투명한 플라스틱 컵과 빨대,6,0.0012
종이(박스),6,0.0012
500ml,6,0.0012
음료 컵과 뚜껑,5,0.001
투명한 컵,5,0.001
"뚜껑은 투명, 빨대는 노란색",5,0.001
흰색 플라스틱 용기,5,0.001
투명한 플라스틱 컵,5,0.001
"플라스틱 병 1개, 금속 캔 1개",5,0.001
투명한 플라스틱 병,5,0.001
13개,5,0.001
음료가 담긴 투명 플라스틱 컵,5,0.001
건전지,5,0.001
종이 용기,5,0.001
플라스틱 병과 플라스틱 컵,5,0.001
주황색,5,0.001
투명 플라스틱 병,5,0.001
골판지 상자,5,0.001
두유,5,0.001
검은색,5,0.001
플라스틱 봉지,5,0.001
14개,5,0.001
플라스틱 병과 용기,5,0.001
과자 봉지,4,0.0008
펩시,4,0.0008
금속(캔),4,0.0008
코카콜라,4,0.0008
음료수 병,4,0.0008
플라스틱 물병,4,0.0008
박스,4,0.0008
종이컵 홀더,4,0.0008
종이/골판지,4,0.0008
스티로폼박스,4,0.0008
신문지,4,0.0008
종이(골판지 포함),4,0.0008
플라스틱 컵 뚜껑,4,0.0008
2권,4,0.0008
알루미늄 음료 캔,4,0.0008
